"""country_name"",""country_text_id"",""country_id"",""year"",""v2x_polyarchy"",""v2x_regime"",""e_boix_regime"",""e_polity2"",""e_regionpol"",""e_regionpol_6C"",""dir_crim"",""ind_crim"",""gmc"",""gmcpr"",""gmcphys"",""gmcpsych"",""gmcdiv"",""nb3g"",""adp_general"",""adp_constitution"",""adp_employment"",""adp_education"",""adp_healthcare"",""adp_housing"",""trip_score"",""trip_percent"",""wb_gdppc"",""lgdppc_wb"",""religiosity_percent"",""no_dircrim"",""no_indcrim"",""nophys"",""nopsych"",""nodiv"""
"Germany,""DEU"",77,2019,0.879,3,1,NA,5,5,0,0,1,1,0,1,0,0,1,0,1,1,1,1,10,0.769230782985687,46793.6867616004,10.7535037994385,0.738600015640259,1,1,1,0,1"
"Guatemala,""GTM"",78,2019,0.564,2,1,NA,2,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,4647.69334663252,8.44412612915039,0.960799992084503,1,0,0,0,0"
"Iran,""IRN"",79,2019,0.206,1,0,NA,3,3,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0.15384615957737,3277.875595507,8.09495067596436,1,1,0,0,0,0"
"Iraq,""IRQ"",80,2019,0.385,1,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,5621.18169491752,8.63429737091064,1,1,0,0,0,0"
"Ireland,""IRL"",81,2019,0.888,3,1,NA,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0.461538463830948,80927.0746710666,11.3013038635254,0.922699987888336,1,1,1,1,1"
"Italy,""ITA"",82,2019,0.856,3,1,NA,5,5,0,0,1,1,1,1,1,0,0,0,0,0,0,0,3,0.230769231915474,33673.7509627421,10.4244737625122,0.866999983787537,1,1,0,0,0"
"Jordan,""JOR"",83,2019,0.262,0,0,NA,3,3,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,4205.56365350106,8.34416389465332,1,0,0,0,0,0"
"Latvia,""LVA"",84,2019,0.831,3,1,NA,1,1,0,0,1,2,2,2,2,0,0,0,0,0,0,0,3,0.230769231915474,17945.2222164984,9.79507923126221,0.548500001430511,1,1,0,0,0"
"Lesotho,""LSO"",85,2019,0.629,2,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,1102.56486953249,7.00539445877075,0.971699953079224,1,0,0,0,0"
"Liberia,""LBR"",86,2019,0.627,2,1,NA,4,4,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,665.878447568436,6.50110721588135,0.986000001430511,1,0,0,0,0"
"Malawi,""MWI"",87,2019,0.479,1,1,NA,4,4,1,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,584.362867276266,6.37052202224731,0.979499995708466,0,0,0,0,0"
"Maldives,""MDV"",88,2019,0.594,2,0,NA,8,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,11118.5565375032,9.31637096405029,1,1,0,0,0,0"
"Mongolia,""MNG"",89,2019,0.655,2,1,NA,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2,0.15384615957737,4394.94714713374,8.38821125030518,0.635600030422211,1,0,0,0,0"
"Morocco,""MAR"",90,2019,0.261,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,3498.57397460938,8.16011047363281,1,1,0,0,0,0"
"Netherlands,""NLD"",91,2019,0.871,3,1,NA,5,5,0,0,1,1,0,1,0,0,1,0,1,1,1,1,10,0.769230782985687,52476.2732533327,10.8681163787842,0.55919998884201,1,1,1,0,1"
"Panama,""PAN"",92,2019,0.734,2,1,NA,2,2,0,0,1,1,1,2,1,0,0,0,0,0,0,0,3,0.230769231915474,15826.0823544866,9.66941452026367,0.950199961662292,1,1,0,0,0"
"Papua New Guinea,""PNG"",93,2019,0.435,1,1,NA,9,6,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,2593.80465015989,7.86088085174561,1,1,0,0,0,0"
"Qatar,""QAT"",94,2019,0.041,0,0,NA,3,3,0,1,0,2,2,2,2,0,0,0,0,0,0,0,1,0.0769230797886848,62637.2751084291,11.0451154708862,1,1,0,0,0,0"
